4	2.571999999999999e-07	4.112722266874394e-07
16	3.086000000000000e-07	4.969286110141419e-07
64	8.481000000000001e-07	1.615462744162730e-06
256	1.413400000000000e-06	1.492002323501318e-06
1024	5.852499999999999e-06	2.667376499275811e-06
4096	2.841949999999999e-05	2.983887235078878e-05
16384	1.500523000000000e-04	4.850020215547790e-05
65536	7.983010000000001e-04	5.131867742298426e-05
262144	5.043755700000000e-03	1.405684916749938e-04
1048576	3.676445480000000e-02	5.300883059644109e-04
4194304	2.845803526000000e-01	2.149465380468201e-03
