4	2.623999999999999e-07	3.667706519217576e-07
16	3.508999999999999e-07	6.439610840553781e-07
64	6.943000000000001e-07	1.128439044777244e-06
256	1.374700000000000e-06	1.425632806861571e-06
1024	5.716800000000000e-06	2.656420264608409e-06
4096	2.318920000000000e-05	2.819455149019634e-05
16384	1.307527000000000e-04	3.291552401071572e-05
65536	7.592704999999999e-04	3.796726663632027e-05
262144	4.747600400000000e-03	1.219114582311265e-04
1048576	3.701218880000000e-02	8.274978915227164e-04
4194304	2.826949021000000e-01	2.443071222330982e-03
