4	2.546000000000000e-07	3.973694614447479e-07
16	3.703000000000000e-07	5.016619158136062e-07
64	6.480000000000000e-07	1.015606879325526e-06
256	1.368500000000000e-06	1.392838767888564e-06
1024	8.001399999999999e-06	7.335596684054484e-06
4096	2.879190000000000e-05	2.367849906302715e-05
16384	2.070241999999999e-04	4.023876985307707e-05
65536	1.317129300000000e-03	3.208293359768342e-05
262144	9.149878199999999e-03	1.218563102037152e-03
1048576	6.895976590000001e-02	1.104667499145216e-03
4194304	5.320356516000000e-01	5.218821141144275e-03
