4	2.596000000000000e-07	4.260866369909084e-07
16	3.225000000000000e-07	5.214418578433371e-07
64	6.813999999999999e-07	1.108984540519439e-06
256	1.387200000000000e-06	1.532086942702665e-06
1024	8.882999999999999e-06	6.732055208725887e-06
4096	3.794780000000000e-05	7.842446823394991e-06
16384	3.075726000000000e-04	2.533740984394450e-05
65536	2.371580800000000e-03	4.238053148635789e-05
262144	1.676083630000000e-02	3.225446278682751e-04
1048576	1.311084548000000e-01	2.693975200995671e-03
4194304	1.011556858600000e+00	5.494412798357610e-03
